run_id,split_strategy,fold_index,split_seed,n_train,n_val,n_test,train_seed,epochs_completed,best_epoch,best_val_macro_f1,early_stopped,macro_f1,val_loss,overfit_gap,error_rate,class_f1_std,high_conf_wrong_rate,confidence_mean,low_margin_rate,tta_enabled,tta_views,tta_cache_enabled,tta_cache_hit,hydra_overrides
run_id=solve-team-fulltrain-multiseed-top2-20260303-134341-seed42-1-top2-convnext_384,full_train,0,42,1570,1570,3140,,,7,,False,0.9961711874173874,0.01912151941926115,0.003828812582612584,0.003821656050955414,0.007402167579347011,0.0,0.9850320040230538,0.0012738853503184713,1.0,10.0,1.0,0.0,scenario=cloud | runner_profile=hpc_confirm | kind=solve | train.num_workers=4 | train.amp=true | solve=team_solve | solve_candidate=top2 | solve_backbone=convnext_384 | train.seed=42 | split.strategy=full_train | split.fold_index=0 | train.early_stop.enabled=false
run_id=solve-team-fulltrain-multiseed-top2-20260303-134341-seed52-1-top2-convnext_384,full_train,0,42,1570,1570,3140,,,9,,False,1.0,0.010210040694507158,0.0,0.0,0.0,0.0,0.9904969716337836,0.0006369426751592356,1.0,10.0,1.0,0.0,scenario=cloud | runner_profile=hpc_confirm | kind=solve | train.num_workers=4 | train.amp=true | solve=team_solve | solve_candidate=top2 | solve_backbone=convnext_384 | train.seed=52 | split.strategy=full_train | split.fold_index=0 | train.early_stop.enabled=false
run_id=solve-team-fulltrain-multiseed-top2-20260303-134341-seed62-1-top2-convnext_384,full_train,0,42,1570,1570,3140,,,10,,False,0.9932379025704082,0.025404392332403047,0.00588409062211237,0.0070063694267515925,0.010280984268968167,0.001910828025477707,0.9888820098274073,0.0012738853503184713,1.0,10.0,1.0,0.0,scenario=cloud | runner_profile=hpc_confirm | kind=solve | train.num_workers=4 | train.amp=true | solve=team_solve | solve_candidate=top2 | solve_backbone=convnext_384 | train.seed=62 | split.strategy=full_train | split.fold_index=0 | train.early_stop.enabled=false
