run_id,candidate_hash,overrides_hash,status,fold_index,seed,macro_f1,val_loss,best_val_macro_f1,overfit_gap,generalization_ratio,selection_score_proxy,best_epoch,stop_epoch,early_stopped,elapsed_sec,optimizer.lr,optimizer.weight_decay,augmentation.mix,train.label_smoothing,train.class_weight_mode,scheduler.name,preprocess.target_size,model.backbone,train.batch_size,train.grad_accum_steps,trial_dir
run_id=20,3dd2521972,802db240b2,completed,0,42,0.9445919603691635,0.20118641653763397,0.955946815650055,0.01135485528089153,0.9881218755112751,,10.0,10.0,False,234.01526265201392,0.0001,0.01,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=20
run_id=21,3dd2521972,fd13809447,completed,1,42,0.9317700620728635,0.18828590773046017,0.9630908567032328,0.0313207946303693,0.9674788786412283,,8.0,10.0,True,228.79589660000056,0.0001,0.01,none,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=21
run_id=22,f94e69357e,68b5320872,completed,0,42,0.9447967888764197,0.1652429419170533,0.9567525719075756,0.011955783031155853,0.9875037879361866,,9.0,10.0,False,232.78466507495614,0.0001,0.01,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=22
run_id=23,f94e69357e,31d681b61b,completed,1,42,0.9527015191741124,0.13429749650614603,0.9667852081300023,0.014083688955889961,0.9854324530025328,,8.0,10.0,True,234.14636031800183,0.0001,0.01,none,0.0,balanced,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=23
run_id=24,02699dd590,29ba5eb7e7,completed,0,42,0.9184816058814462,0.3184355358992304,0.9538944916363292,0.035412885754882995,0.9628754688643447,,7.0,9.0,True,210.5293833509786,0.0001,0.01,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=24
run_id=25,02699dd590,efc722ab6c,completed,1,42,0.9519519497332027,0.28825190344027113,0.9789733779690738,0.02702142823587106,0.9723981991298596,,10.0,10.0,False,236.04380530299386,0.0001,0.01,mixup,0.0,none,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=25
run_id=26,d49d1c742c,4b75aafef6,completed,0,42,0.9444827272091905,0.3766319698521069,0.9395332431620921,-0.004949484047098385,1.005268024397349,,5.0,7.0,True,162.23885785002494,0.0001,0.01,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=26
run_id=27,d49d1c742c,46a420dc48,completed,1,42,0.9023536352080238,0.33753265014716555,0.9514842078768817,0.0491305726688579,0.9483642794466483,,7.0,9.0,True,209.83216396096395,0.0001,0.01,mixup,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=27
run_id=28,1e31142e6d,90cf548810,completed,0,42,0.9438823809698988,0.27857963527951923,0.9428045120634829,-0.0010778689064159241,1.0011432581119672,,8.0,10.0,True,235.013553872006,0.0001,0.01,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=28
run_id=29,1e31142e6d,d7dce02468,completed,1,42,0.8696474116601344,0.49147604405879974,0.9690055986215659,0.0993581869614315,0.8974637637772466,,6.0,8.0,True,186.63737515098182,0.0001,0.01,mixup,0.0,balanced,none,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=29
run_id=3,48fa1ad486,4de2edfd2c,completed,1,42,0.9489126911083077,0.16755439953080245,0.9427962771643272,-0.006116413943980437,1.0064875244972085,,4.0,6.0,True,139.28461206698557,0.0001,0.005,none,0.0,none,cosine,384,convnext_small.fb_in22k_ft_in1k,24,1,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=3
