trial_dir,candidate_hash,overrides_hash,fold_index,seed,macro_f1,val_loss,best_val_macro_f1,overfit_gap,elapsed_sec,status,checkpoint,last_checkpoint
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=18,82beb9902f,e5525c8be1,0,,0.9248651077179799,0.20963682593511684,0.9410567414302635,0.016191633712283604,231.58453031501267,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=18/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=18/checkpoints/last.pt
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=19,82beb9902f,0daea0b665,1,,0.9529632974943705,0.11863905909870352,0.9596644832845089,0.006701185790138453,235.03274606901687,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=19/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=19/checkpoints/last.pt
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=2,48fa1ad486,7888d92837,0,,0.9343146059493047,0.20496259203978948,0.9405588812480417,0.006244275298736945,208.65335558797233,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=2/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=2/checkpoints/last.pt
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=20,3dd2521972,802db240b2,0,,0.9445919603691635,0.20118641653763397,0.955946815650055,0.01135485528089153,234.01526265201392,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=20/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=20/checkpoints/last.pt
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=21,3dd2521972,fd13809447,1,,0.9317700620728635,0.18828590773046017,0.9630908567032328,0.0313207946303693,228.79589660000056,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=21/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=21/checkpoints/last.pt
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=22,f94e69357e,68b5320872,0,,0.9447967888764197,0.1652429419170533,0.9567525719075756,0.011955783031155853,232.78466507495614,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=22/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=22/checkpoints/last.pt
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=23,f94e69357e,31d681b61b,1,,0.9527015191741124,0.13429749650614603,0.9667852081300023,0.014083688955889961,234.14636031800183,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=23/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=23/checkpoints/last.pt
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=24,02699dd590,29ba5eb7e7,0,,0.9184816058814462,0.3184355358992304,0.9538944916363292,0.035412885754882995,210.5293833509786,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=24/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=24/checkpoints/last.pt
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=25,02699dd590,efc722ab6c,1,,0.9519519497332027,0.28825190344027113,0.9789733779690738,0.02702142823587106,236.04380530299386,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=25/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=25/checkpoints/last.pt
members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=26,d49d1c742c,4b75aafef6,0,,0.9444827272091905,0.3766319698521069,0.9395332431620921,-0.004949484047098385,162.23885785002494,success,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=26/checkpoints/best.pt,/home/jhoya/Workspaces/ai-22-cv-cv-team1/members/hyjeon1985/outputs/hpc_proxy/date=2026-03-03/sweep_id=09-13-17/run_id=26/checkpoints/last.pt
